All with 200 Epochs  - 200 Features
 Accuracy,HiddenCells,Epochs,LearningRate,Momentum,WeightDecay,HiddenCells 
46.32,50,200,0.005,0.9,0.0,50
46.32,50,200,0.005,0.9,1.0E-4,50
44.58,50,200,0.005,0.1,0.0,50
44.58,50,200,0.005,0.1,1.0E-4,50
44.98,50,200,0.005,0.001,0.0,50
44.98,50,200,0.005,0.001,1.0E-4,50
46.05,50,200,0.001,0.9,0.0,50
46.05,50,200,0.001,0.9,1.0E-4,50
44.44,50,200,0.001,0.1,0.0,50
44.44,50,200,0.001,0.1,1.0E-4,50
44.31,50,200,0.001,0.001,0.0,50
44.31,50,200,0.001,0.001,1.0E-4,50
44.31,50,200,1.0E-4,0.9,0.0,50
44.31,50,200,1.0E-4,0.9,1.0E-4,50
58.77,50,200,1.0E-4,0.1,0.0,50
58.77,50,200,1.0E-4,0.1,1.0E-4,50
58.50,50,200,1.0E-4,0.001,0.0,50
58.50,50,200,1.0E-4,0.001,1.0E-4,50
43.11,100,200,0.005,0.9,0.0,100
43.11,100,200,0.005,0.9,1.0E-4,100
45.92,100,200,0.005,0.1,0.0,100
45.92,100,200,0.005,0.1,1.0E-4,100
46.32,100,200,0.005,0.001,0.0,100
46.32,100,200,0.005,0.001,1.0E-4,100
50.20,100,200,0.001,0.9,0.0,100
50.20,100,200,0.001,0.9,1.0E-4,100
48.86,100,200,0.001,0.1,0.0,100
48.86,100,200,0.001,0.1,1.0E-4,100
48.59,100,200,0.001,0.001,0.0,100
48.59,100,200,0.001,0.001,1.0E-4,100
48.46,100,200,1.0E-4,0.9,0.0,100
48.46,100,200,1.0E-4,0.9,1.0E-4,100
59.17,100,200,1.0E-4,0.1,0.0,100
59.17,100,200,1.0E-4,0.1,1.0E-4,100
62.25,100,200,1.0E-4,0.001,0.0,100
62.25,100,200,1.0E-4,0.001,1.0E-4,100
45.65,150,200,0.005,0.9,0.0,150
45.65,150,200,0.005,0.9,1.0E-4,150
44.98,150,200,0.005,0.1,0.0,150
44.98,150,200,0.005,0.1,1.0E-4,150
44.31,150,200,0.005,0.001,0.0,150
44.31,150,200,0.005,0.001,1.0E-4,150
46.18,150,200,0.001,0.9,0.0,150
46.18,150,200,0.001,0.9,1.0E-4,150
51.67,150,200,0.001,0.1,0.0,150
51.67,150,200,0.001,0.1,1.0E-4,150
51.41,150,200,0.001,0.001,0.0,150
51.41,150,200,0.001,0.001,1.0E-4,150
51.41,150,200,1.0E-4,0.9,0.0,150
51.41,150,200,1.0E-4,0.9,1.0E-4,150
61.31,150,200,1.0E-4,0.1,0.0,150
61.31,150,200,1.0E-4,0.1,1.0E-4,150
60.51,150,200,1.0E-4,0.001,0.0,150
60.51,150,200,1.0E-4,0.001,1.0E-4,150
